config_id,noise_removal1,transformation1,combination,selection,noise_removal2,transformation2,core,err_min,err_mean,err_median,err_75prctile,err_90prctile,err_max,rmse
1,none,none,none,x,none,none,fft,7.021285,33.327114,36.028634,42.029901,43.528381,45.026860,35.150563
2,none,none,none,x,none,none,corr,14.579406,21.583676,19.651689,23.506475,32.314061,38.217617,22.524280
3,none,none,none,x,none,none,wavelet,5.195252,11.888116,10.911384,16.001636,21.239920,25.581830,13.375469
4,none,none,none,x,none,abs,fft,6.020779,22.920728,21.524073,38.029394,41.527874,42.029901,26.510313
5,none,none,none,x,none,abs,corr,12.018373,22.206391,22.047182,24.736211,30.135336,35.364196,22.925399
6,none,none,none,x,none,abs,wavelet,3.115371,12.025850,11.188487,14.061201,21.410368,25.864592,13.382111
7,none,none,none,x,smooth,none,fft,7.021285,33.327114,36.028634,42.029901,43.528381,45.026860,35.150563
8,none,none,none,x,smooth,none,corr,14.579406,21.583676,19.651689,23.506475,32.314061,38.217617,22.524280
9,none,none,none,x,smooth,none,wavelet,5.195252,11.888116,10.911384,16.001636,21.239920,25.581830,13.375469
10,none,none,none,x,smooth,abs,fft,6.020779,22.920728,21.524073,38.029394,41.527874,42.029901,26.510313
11,none,none,none,x,smooth,abs,corr,12.018373,22.206391,22.047182,24.736211,30.135336,35.364196,22.925399
12,none,none,none,x,smooth,abs,wavelet,3.115371,12.025850,11.188487,14.061201,21.410368,25.864592,13.382111
13,none,none,none,x,bandpass,none,fft,7.021285,33.327114,36.028634,42.029901,43.528381,45.026860,35.150563
14,none,none,none,x,bandpass,none,corr,14.579406,21.583676,19.651689,23.506475,32.314061,38.217617,22.524280
15,none,none,none,x,bandpass,none,wavelet,5.195252,11.888116,10.911384,16.001636,21.239920,25.581830,13.375469
16,none,none,none,x,bandpass,abs,fft,6.020779,22.920728,21.524073,38.029394,41.527874,42.029901,26.510313
17,none,none,none,x,bandpass,abs,corr,12.018373,22.206391,22.047182,24.736211,30.135336,35.364196,22.925399
18,none,none,none,x,bandpass,abs,wavelet,3.115371,12.025850,11.188487,14.061201,21.410368,25.864592,13.382111
19,none,none,none,x,wavelet,none,fft,7.021285,33.327114,36.028634,42.029901,43.528381,45.026860,35.150563
20,none,none,none,x,wavelet,none,corr,14.579406,21.583676,19.651689,23.506475,32.314061,38.217617,22.524280
21,none,none,none,x,wavelet,none,wavelet,5.195252,11.888116,10.911384,16.001636,21.239920,25.581830,13.375469
22,none,none,none,x,wavelet,abs,fft,6.020779,22.920728,21.524073,38.029394,41.527874,42.029901,26.510313
