config_id,noise_removal1,transformation1,combination,selection,noise_removal2,transformation2,core,err_min,err_mean,err_median,err_75prctile,err_90prctile,err_max,rmse
1,none,none,none,x,none,none,fft,25.021792,45.360362,47.027367,53.779014,57.829698,59.029901,46.672147
2,none,none,none,x,none,none,corr,32.666770,35.102681,35.143466,36.388749,37.501336,37.649485,35.143022
3,none,none,none,x,none,none,wavelet,18.038856,23.923041,24.402306,26.454511,27.369330,27.826680,24.099175
4,none,none,none,x,none,abs,fft,0.015711,18.457565,21.020272,26.022046,39.825542,47.027367,23.297148
5,none,none,none,x,none,abs,corr,29.142932,36.259366,36.155503,38.687377,40.117180,41.048721,36.398182
6,none,none,none,x,none,abs,wavelet,18.251867,24.683469,24.290156,27.851140,28.562493,29.014355,24.913761
7,none,none,none,x,smooth,none,fft,25.021792,45.360362,47.027367,53.779014,57.829698,59.029901,46.672147
8,none,none,none,x,smooth,none,corr,32.666770,35.102681,35.143466,36.388749,37.501336,37.649485,35.143022
9,none,none,none,x,smooth,none,wavelet,18.038856,23.923041,24.402306,26.454511,27.369330,27.826680,24.099175
10,none,none,none,x,smooth,abs,fft,0.015711,18.457565,21.020272,26.022046,39.825542,47.027367,23.297148
11,none,none,none,x,smooth,abs,corr,29.142932,36.259366,36.155503,38.687377,40.117180,41.048721,36.398182
12,none,none,none,x,smooth,abs,wavelet,18.251867,24.683469,24.290156,27.851140,28.562493,29.014355,24.913761
13,none,none,none,x,bandpass,none,fft,25.021792,45.360362,47.027367,53.779014,57.829698,59.029901,46.672147
14,none,none,none,x,bandpass,none,corr,32.666770,35.102681,35.143466,36.388749,37.501336,37.649485,35.143022
15,none,none,none,x,bandpass,none,wavelet,18.038856,23.923041,24.402306,26.454511,27.369330,27.826680,24.099175
16,none,none,none,x,bandpass,abs,fft,0.015711,18.457565,21.020272,26.022046,39.825542,47.027367,23.297148
17,none,none,none,x,bandpass,abs,corr,29.142932,36.259366,36.155503,38.687377,40.117180,41.048721,36.398182
18,none,none,none,x,bandpass,abs,wavelet,18.251867,24.683469,24.290156,27.851140,28.562493,29.014355,24.913761
19,none,none,none,x,wavelet,none,fft,25.021792,45.360362,47.027367,53.779014,57.829698,59.029901,46.672147
20,none,none,none,x,wavelet,none,corr,32.666770,35.102681,35.143466,36.388749,37.501336,37.649485,35.143022
21,none,none,none,x,wavelet,none,wavelet,18.038856,23.923041,24.402306,26.454511,27.369330,27.826680,24.099175
22,none,none,none,x,wavelet,abs,fft,0.015711,18.457565,21.020272,26.022046,39.825542,47.027367,23.297148
23,none,none,none,x,wavelet,abs,corr,29.142932,36.259366,36.155503,38.687377,40.117180,41.048721,36.398182
24,none,none,none,x,wavelet,abs,wavelet,18.251867,24.683469,24.290156,27.851140,28.562493,29.014355,24.913761
25,none,none,none,y,none,none,fft,1.985303,46.246098,52.028887,54.029014,57.029698,57.029901,49.073431
26,none,none,none,y,none,none,corr,29.904139,33.573953,32.782493,35.316113,38.172929,38.295428,33.692827
27,none,none,none,y,none,none,wavelet,17.511244,23.387258,24.234191,26.191068,30.310449,30.382310,23.808142
28,none,none,none,y,none,abs,fft,1.985303,42.245084,52.028887,54.029014,57.029698,57.029901,46.302657
29,none,none,none,y,none,abs,corr,30.569438,33.464001,32.782493,34.665617,38.172929,38.295428,33.570668
30,none,none,none,y,none,abs,wavelet,17.511244,23.614685,24.234191,26.191068,30.310449,30.382310,23.996570
