config_id,noise_removal1,transformation1,combination,selection,noise_removal2,transformation2,core,err_min,err_mean,err_median,err_75prctile,err_90prctile,err_max,rmse
1,none,none,none,x,none,none,fft,19.021285,43.526556,45.526607,52.029901,56.529141,60.029394,44.949569
2,none,none,none,x,none,none,corr,27.471915,34.322899,34.732168,37.397396,39.724679,40.775494,34.542695
3,none,none,none,x,none,none,wavelet,15.251867,22.815660,22.219498,28.346194,33.297908,36.968323,23.838271
4,none,none,none,x,none,abs,fft,3.016217,20.117332,14.018498,23.020272,49.527620,56.029901,25.756391
5,none,none,none,x,none,abs,corr,27.682763,35.844722,38.009601,40.316126,40.972479,41.264003,36.200643
6,none,none,none,x,none,abs,wavelet,16.938846,26.310680,26.378007,29.667920,36.040832,37.156130,26.993518
7,none,none,none,x,smooth,none,fft,19.021285,43.526556,45.526607,52.029901,56.529141,60.029394,44.949569
8,none,none,none,x,smooth,none,corr,27.471915,34.322899,34.732168,37.397396,39.724679,40.775494,34.542695
9,none,none,none,x,smooth,none,wavelet,15.251867,22.815660,22.219498,28.346194,33.297908,36.968323,23.838271
10,none,none,none,x,smooth,abs,fft,3.016217,20.117332,14.018498,23.020272,49.527620,56.029901,25.756391
11,none,none,none,x,smooth,abs,corr,27.682763,35.844722,38.009601,40.316126,40.972479,41.264003,36.200643
12,none,none,none,x,smooth,abs,wavelet,16.938846,26.310680,26.378007,29.667920,36.040832,37.156130,26.993518
13,none,none,none,x,bandpass,none,fft,19.021285,43.526556,45.526607,52.029901,56.529141,60.029394,44.949569
14,none,none,none,x,bandpass,none,corr,27.471915,34.322899,34.732168,37.397396,39.724679,40.775494,34.542695
15,none,none,none,x,bandpass,none,wavelet,15.251867,22.815660,22.219498,28.346194,33.297908,36.968323,23.838271
16,none,none,none,x,bandpass,abs,fft,3.016217,20.117332,14.018498,23.020272,49.527620,56.029901,25.756391
17,none,none,none,x,bandpass,abs,corr,27.682763,35.844722,38.009601,40.316126,40.972479,41.264003,36.200643
18,none,none,none,x,bandpass,abs,wavelet,16.938846,26.310680,26.378007,29.667920,36.040832,37.156130,26.993518
19,none,none,none,x,wavelet,none,fft,19.021285,43.526556,45.526607,52.029901,56.529141,60.029394,44.949569
20,none,none,none,x,wavelet,none,corr,27.471915,34.322899,34.732168,37.397396,39.724679,40.775494,34.542695
21,none,none,none,x,wavelet,none,wavelet,15.251867,22.815660,22.219498,28.346194,33.297908,36.968323,23.838271
22,none,none,none,x,wavelet,abs,fft,3.016217,20.117332,14.018498,23.020272,49.527620,56.029901,25.756391
23,none,none,none,x,wavelet,abs,corr,27.682763,35.844722,38.009601,40.316126,40.972479,41.264003,36.200643
24,none,none,none,x,wavelet,abs,wavelet,16.938846,26.310680,26.378007,29.667920,36.040832,37.156130,26.993518
25,none,none,none,y,none,none,fft,31.024326,48.527823,53.029394,54.029394,58.029141,59.029394,49.339950
26,none,none,none,y,none,none,corr,29.150202,33.368646,31.922036,37.181030,39.074239,39.349836,33.568548
27,none,none,none,y,none,none,wavelet,15.519731,24.108981,22.494283,29.120844,33.642016,35.683305,24.814820
28,none,none,none,y,none,abs,fft,0.015711,16.309730,9.502027,22.021285,46.526100,51.027367,23.193226
29,none,none,none,y,none,abs,corr,29.914022,37.446037,37.978963,41.534715,45.914846,47.703608,37.854158
30,none,none,none,y,none,abs,wavelet,21.754375,27.659896,25.699916,31.864257,37.282656,37.659013,28.243303
31,none,none,none,y,smooth,none,fft,31.024326,48.527823,53.029394,54.029394,58.029141,59.029394,49.339950
32,none,none,none,y,smooth,none,corr,29.150202,33.368646,31.922036,37.181030,39.074239,39.349836,33.568548
33,none,none,none,y,smooth,none,wavelet,15.519731,24.108981,22.494283,29.120844,33.642016,35.683305,24.814820
34,none,none,none,y,smooth,abs,fft,0.015711,16.309730,9.502027,22.021285,46.526100,51.027367,23.193226
35,none,none,none,y,smooth,abs,corr,29.914022,37.446037,37.978963,41.534715,45.914846,47.703608,37.854158
36,none,none,none,y,smooth,abs,wavelet,21.754375,27.659896,25.699916,31.864257,37.282656,37.659013,28.243303
37,none,none,none,y,bandpass,none,fft,31.024326,48.527823,53.029394,54.029394,58.029141,59.029394,49.339950
38,none,none,none,y,bandpass,none,corr,29.150202,33.368646,31.922036,37.181030,39.074239,39.349836,33.568548
39,none,none,none,y,bandpass,none,wavelet,15.519731,24.108981,22.494283,29.120844,33.642016,35.683305,24.814820
40,none,none,none,y,bandpass,abs,fft,0.015711,16.309730,9.502027,22.021285,46.526100,51.027367,23.193226
41,none,none,none,y,bandpass,abs,corr,29.914022,37.446037,37.978963,41.534715,45.914846,47.703608,37.854158
42,none,none,none,y,bandpass,abs,wavelet,21.754375,27.659896,25.699916,31.864257,37.282656,37.659013,28.243303
43,none,none,none,y,wavelet,none,fft,31.024326,48.527823,53.029394,54.029394,58.029141,59.029394,49.339950
44,none,none,none,y,wavelet,none,corr,29.150202,33.368646,31.922036,37.181030,39.074239,39.349836,33.568548
45,none,none,none,y,wavelet,none,wavelet,15.519731,24.108981,22.494283,29.120844,33.642016,35.683305,24.814820
46,none,none,none,y,wavelet,abs,fft,0.015711,16.309730,9.502027,22.021285,46.526100,51.027367,23.193226
47,none,none,none,y,wavelet,abs,corr,29.914022,37.446037,37.978963,41.534715,45.914846,47.703608,37.854158
48,none,none,none,y,wavelet,abs,wavelet,21.754375,27.659896,25.699916,31.864257,37.282656,37.659013,28.243303
49,none,none,none,z,none,none,fft,2.984289,34.921083,46.027874,48.027874,57.529648,59.029394,40.368057
50,none,none,none,z,none,none,corr,28.689853,33.557436,33.718565,34.265447,37.980470,38.083923,33.676219
51,none,none,none,z,none,none,wavelet,12.939744,22.748626,23.120795,26.149208,29.522293,30.435694,23.316210
52,none,none,none,z,none,abs,fft,2.014697,30.319917,33.523566,48.027874,57.529648,59.029394,37.407658
