config_id,noise_removal1,transformation1,combination,selection,noise_removal2,transformation2,core,err_min,err_mean,err_median,err_75prctile,err_90prctile,err_max,rmse
1,none,none,none,x,none,none,fft,0.016724,61.029901,24.523819,44.026860,52.029901,61.029901,32.101393
2,none,none,none,x,none,none,corr,1.007075,44.059104,27.808127,33.329570,36.929489,44.059104,28.561315
3,none,none,none,x,none,none,wavelet,0.282089,43.868992,17.888601,23.271899,27.001636,43.868992,19.213783
4,none,none,none,x,none,abs,fft,0.014190,61.029901,10.022806,22.021792,41.527874,61.029901,21.363631
5,none,none,none,x,none,abs,corr,3.034874,43.423350,29.161254,34.628097,37.545502,43.423350,29.729303
6,none,none,none,x,none,abs,wavelet,0.282089,45.021785,19.859273,25.608530,29.616391,45.021785,20.915898
7,none,none,none,x,smooth,none,fft,0.016724,61.029901,24.523819,44.026860,52.029901,61.029901,32.101393
8,none,none,none,x,smooth,none,corr,1.007075,44.059104,27.808127,33.329570,36.929489,44.059104,28.561315
9,none,none,none,x,smooth,none,wavelet,0.282089,43.868992,17.888601,23.271899,27.001636,43.868992,19.213783
10,none,none,none,x,smooth,abs,fft,0.014190,61.029901,10.022806,22.021792,41.527874,61.029901,21.363631
11,none,none,none,x,smooth,abs,corr,3.034874,43.423350,29.161254,34.628097,37.545502,43.423350,29.729303
12,none,none,none,x,smooth,abs,wavelet,0.282089,45.021785,19.859273,25.608530,29.616391,45.021785,20.915898
13,none,none,none,x,bandpass,none,fft,0.016724,61.029901,24.523819,44.026860,52.029901,61.029901,32.101393
14,none,none,none,x,bandpass,none,corr,1.007075,44.059104,27.808127,33.329570,36.929489,44.059104,28.561315
15,none,none,none,x,bandpass,none,wavelet,0.282089,43.868992,17.888601,23.271899,27.001636,43.868992,19.213783
16,none,none,none,x,bandpass,abs,fft,0.014190,61.029901,10.022806,22.021792,41.527874,61.029901,21.363631
17,none,none,none,x,bandpass,abs,corr,3.034874,43.423350,29.161254,34.628097,37.545502,43.423350,29.729303
18,none,none,none,x,bandpass,abs,wavelet,0.282089,45.021785,19.859273,25.608530,29.616391,45.021785,20.915898
19,none,none,none,x,wavelet,none,fft,0.016724,61.029901,24.523819,44.026860,52.029901,61.029901,32.101393
20,none,none,none,x,wavelet,none,corr,1.007075,44.059104,27.808127,33.329570,36.929489,44.059104,28.561315
21,none,none,none,x,wavelet,none,wavelet,0.282089,43.868992,17.888601,23.271899,27.001636,43.868992,19.213783
22,none,none,none,x,wavelet,abs,fft,0.014190,61.029901,10.022806,22.021792,41.527874,61.029901,21.363631
23,none,none,none,x,wavelet,abs,corr,3.034874,43.423350,29.161254,34.628097,37.545502,43.423350,29.729303
24,none,none,none,x,wavelet,abs,wavelet,0.282089,45.021785,19.859273,25.608530,29.616391,45.021785,20.915898
25,none,none,none,y,none,none,fft,0.015711,59.029901,24.524580,40.527114,51.029648,59.029901,30.966431
26,none,none,none,y,none,none,corr,1.240540,44.702845,27.241758,32.763118,38.209575,44.702845,28.316145
27,none,none,none,y,none,none,wavelet,0.027745,52.173027,17.431418,22.608827,26.457994,52.173027,18.792920
28,none,none,none,y,none,abs,fft,0.015204,58.029901,14.519258,35.500507,46.028887,58.029901,26.251127
29,none,none,none,y,none,abs,corr,2.152642,47.703608,28.061135,33.039258,38.145357,47.703608,29.137776
30,none,none,none,y,none,abs,wavelet,0.142915,46.709844,18.482756,23.672839,27.541439,46.709844,19.740071
31,none,none,none,y,smooth,none,fft,0.015711,59.029901,24.524580,40.527114,51.029648,59.029901,30.966431
32,none,none,none,y,smooth,none,corr,1.240540,44.702845,27.241758,32.763118,38.209575,44.702845,28.316145
33,none,none,none,y,smooth,none,wavelet,0.027745,52.173027,17.431418,22.608827,26.457994,52.173027,18.792920
34,none,none,none,y,smooth,abs,fft,0.015204,58.029901,14.519258,35.500507,46.028887,58.029901,26.251127
35,none,none,none,y,smooth,abs,corr,2.152642,47.703608,28.061135,33.039258,38.145357,47.703608,29.137776
36,none,none,none,y,smooth,abs,wavelet,0.142915,46.709844,18.482756,23.672839,27.541439,46.709844,19.740071
37,none,none,none,y,bandpass,none,fft,0.015711,59.029901,24.524580,40.527114,51.029648,59.029901,30.966431
38,none,none,none,y,bandpass,none,corr,1.240540,44.702845,27.241758,32.763118,38.209575,44.702845,28.316145
39,none,none,none,y,bandpass,none,wavelet,0.027745,52.173027,17.431418,22.608827,26.457994,52.173027,18.792920
40,none,none,none,y,bandpass,abs,fft,0.015204,58.029901,14.519258,35.500507,46.028887,58.029901,26.251127
41,none,none,none,y,bandpass,abs,corr,2.152642,47.703608,28.061135,33.039258,38.145357,47.703608,29.137776
42,none,none,none,y,bandpass,abs,wavelet,0.142915,46.709844,18.482756,23.672839,27.541439,46.709844,19.740071
43,none,none,none,y,wavelet,none,fft,0.015711,59.029901,24.524580,40.527114,51.029648,59.029901,30.966431
44,none,none,none,y,wavelet,none,corr,1.240540,44.702845,27.241758,32.763118,38.209575,44.702845,28.316145
45,none,none,none,y,wavelet,none,wavelet,0.027745,52.173027,17.431418,22.608827,26.457994,52.173027,18.792920
46,none,none,none,y,wavelet,abs,fft,0.015204,58.029901,14.519258,35.500507,46.028887,58.029901,26.251127
47,none,none,none,y,wavelet,abs,corr,2.152642,47.703608,28.061135,33.039258,38.145357,47.703608,29.137776
48,none,none,none,y,wavelet,abs,wavelet,0.142915,46.709844,18.482756,23.672839,27.541439,46.709844,19.740071
49,none,none,none,z,none,none,fft,0.015204,61.029901,18.521285,39.027367,48.028381,61.029901,28.916188
50,none,none,none,z,none,none,corr,1.224014,40.476689,28.075608,32.894521,35.655871,40.476689,28.069385
51,none,none,none,z,none,none,wavelet,0.314142,48.300908,18.499747,23.577574,27.949824,48.300908,20.156145
52,none,none,none,z,none,abs,fft,0.015204,61.029901,17.024580,38.503294,48.028381,61.029901,28.461080
53,none,none,none,z,none,abs,corr,1.120844,41.032508,27.985288,32.968364,35.596559,41.032508,28.099151
54,none,none,none,z,none,abs,wavelet,0.314142,48.300908,18.499747,23.577574,27.840091,48.300908,20.140690
55,none,none,none,z,smooth,none,fft,0.015204,61.029901,18.521285,39.027367,48.028381,61.029901,28.916188
