noise_removal1,combination,selection,noise_removal2,transformation,core,err_min,err_mean,err_median,err_90prctile,err_max,rmse
wavelet,pca,z,wavelet,abs,fft,"0,495695","33,992651","5,749423","28,743018","33,992651","14,179078"
smooth,none,y,none,abs,wavelet,"1,635248","61,201185","5,823324","46,006551","61,201185","21,978213"
smooth,none,y,smooth,abs,wavelet,"1,635248","61,201185","5,823324","46,006551","61,201185","21,978213"
smooth,none,y,bandpass,abs,wavelet,"1,635248","61,201185","5,823324","46,006551","61,201185","21,978213"
smooth,none,y,wavelet,abs,wavelet,"1,635248","61,201185","5,823324","46,006551","61,201185","21,978213"
smooth,ica,xyz,none,none,wavelet,"0,820023","54,422375","5,823818","45,78887","54,422375","21,080928"
smooth,ica,xyz,smooth,none,wavelet,"0,820023","54,422375","5,823818","45,78887","54,422375","21,080928"
smooth,ica,xyz,bandpass,none,wavelet,"0,820023","54,422375","5,823818","45,78887","54,422375","21,080928"
smooth,ica,xyz,wavelet,none,wavelet,"0,820023","54,422375","5,823818","45,78887","54,422375","21,080928"
wavelet,none,xy,none,none,wavelet,"0,245247","47,472142","5,82865","34,517467","47,472142","18,101686"
wavelet,none,xy,smooth,none,wavelet,"0,245247","47,472142","5,82865","34,517467","47,472142","18,101686"
wavelet,none,xy,bandpass,none,wavelet,"0,245247","47,472142","5,82865","34,517467","47,472142","18,101686"
wavelet,none,xy,wavelet,none,wavelet,"0,245247","47,472142","5,82865","34,517467","47,472142","18,101686"
bandpass,none,x,none,none,corr,"1,981452","19,278191","5,928502","17,624448","19,278191","9,008283"
bandpass,none,x,smooth,none,corr,"1,981452","19,278191","5,928502","17,624448","19,278191","9,008283"
bandpass,none,x,bandpass,none,corr,"1,981452","19,278191","5,928502","17,624448","19,278191","9,008283"
bandpass,none,x,wavelet,none,corr,"1,981452","19,278191","5,928502","17,624448","19,278191","9,008283"
none,ica,x,none,none,wavelet,"0,956751","18,048272","5,978898","17,298357","18,048272","9,716805"
none,ica,x,smooth,none,wavelet,"0,956751","18,048272","5,978898","17,298357","18,048272","9,716805"
none,ica,x,bandpass,none,wavelet,"0,956751","18,048272","5,978898","17,298357","18,048272","9,716805"
none,ica,x,wavelet,none,wavelet,"0,956751","18,048272","5,978898","17,298357","18,048272","9,716805"
smooth,ica,x,none,abs,wavelet,"2,169507","55,222195","5,979569","26,125213","55,222195","17,602208"
smooth,ica,x,smooth,abs,wavelet,"2,169507","55,222195","5,979569","26,125213","55,222195","17,602208"
smooth,ica,x,bandpass,abs,wavelet,"2,169507","55,222195","5,979569","26,125213","55,222195","17,602208"
smooth,ica,x,wavelet,abs,wavelet,"2,169507","55,222195","5,979569","26,125213","55,222195","17,602208"
bandpass,ica,yz,none,none,corr,"1,028333","17,192757","5,985812","15,683399","17,192757","8,826363"
bandpass,ica,yz,smooth,none,corr,"1,028333","17,192757","5,985812","15,683399","17,192757","8,826363"
bandpass,ica,yz,bandpass,none,corr,"1,028333","17,192757","5,985812","15,683399","17,192757","8,826363"
bandpass,ica,yz,wavelet,none,corr,"1,028333","17,192757","5,985812","15,683399","17,192757","8,826363"
bandpass,ica,x,none,none,corr,"0,769154","21,538895","6,011815","16,585591","21,538895","9,805525"
bandpass,ica,x,smooth,none,corr,"0,769154","21,538895","6,011815","16,585591","21,538895","9,805525"
bandpass,ica,x,bandpass,none,corr,"0,769154","21,538895","6,011815","16,585591","21,538895","9,805525"
bandpass,ica,x,wavelet,none,corr,"0,769154","21,538895","6,011815","16,585591","21,538895","9,805525"
smooth,pca,y,none,none,wavelet,"0,901744","57,281219","6,033096","46,907909","57,281219","22,679977"
