config_id,noise_removal1,transformation1,combination,selection,noise_removal2,transformation2,core,err_min,err_mean,err_median,err_75prctile,err_90prctile,err_max,rmse
1,none,none,none,x,none,none,fft,0.019765,43.029901,22.005068,33.027874,38.528634,43.029901,25.141712
2,none,none,none,x,none,none,corr,5.154892,21.518346,18.014163,19.554201,20.902839,21.518346,16.785672
3,none,none,none,x,none,none,wavelet,0.282089,8.458492,2.569653,7.122190,7.829359,8.458492,4.638594
4,none,none,none,x,none,abs,fft,0.019765,37.028381,19.985303,29.029901,35.028127,37.028381,22.543683
5,none,none,none,x,none,abs,corr,5.154892,22.911227,18.035533,19.989180,22.261411,22.911227,17.186543
6,none,none,none,x,none,abs,wavelet,0.282089,8.458492,2.569653,5.145220,7.790341,8.458492,4.356554
7,none,none,none,x,smooth,none,fft,0.019765,43.029901,22.005068,33.027874,38.528634,43.029901,25.141712
8,none,none,none,x,smooth,none,corr,5.154892,21.518346,18.014163,19.554201,20.902839,21.518346,16.785672
9,none,none,none,x,smooth,none,wavelet,0.282089,8.458492,2.569653,7.122190,7.829359,8.458492,4.638594
10,none,none,none,x,smooth,abs,fft,0.019765,37.028381,19.985303,29.029901,35.028127,37.028381,22.543683
11,none,none,none,x,smooth,abs,corr,5.154892,22.911227,18.035533,19.989180,22.261411,22.911227,17.186543
12,none,none,none,x,smooth,abs,wavelet,0.282089,8.458492,2.569653,5.145220,7.790341,8.458492,4.356554
13,none,none,none,x,bandpass,none,fft,0.019765,43.029901,22.005068,33.027874,38.528634,43.029901,25.141712
14,none,none,none,x,bandpass,none,corr,5.154892,21.518346,18.014163,19.554201,20.902839,21.518346,16.785672
15,none,none,none,x,bandpass,none,wavelet,0.282089,8.458492,2.569653,7.122190,7.829359,8.458492,4.638594
16,none,none,none,x,bandpass,abs,fft,0.019765,37.028381,19.985303,29.029901,35.028127,37.028381,22.543683
17,none,none,none,x,bandpass,abs,corr,5.154892,22.911227,18.035533,19.989180,22.261411,22.911227,17.186543
18,none,none,none,x,bandpass,abs,wavelet,0.282089,8.458492,2.569653,5.145220,7.790341,8.458492,4.356554
19,none,none,none,x,wavelet,none,fft,0.019765,43.029901,22.005068,33.027874,38.528634,43.029901,25.141712
20,none,none,none,x,wavelet,none,corr,5.154892,21.518346,18.014163,19.554201,20.902839,21.518346,16.785672
21,none,none,none,x,wavelet,none,wavelet,0.282089,8.458492,2.569653,7.122190,7.829359,8.458492,4.638594
22,none,none,none,x,wavelet,abs,fft,0.019765,37.028381,19.985303,29.029901,35.028127,37.028381,22.543683
23,none,none,none,x,wavelet,abs,corr,5.154892,22.911227,18.035533,19.989180,22.261411,22.911227,17.186543
24,none,none,none,x,wavelet,abs,wavelet,0.282089,8.458492,2.569653,5.145220,7.790341,8.458492,4.356554
25,none,none,none,y,none,none,fft,0.979728,44.029901,24.525847,33.027874,39.508109,44.029901,26.002580
26,none,none,none,y,none,none,corr,6.829887,20.399292,16.377137,18.256111,20.168296,20.399292,15.685271
27,none,none,none,y,none,none,wavelet,1.234191,13.320874,8.805814,10.837469,13.080414,13.320874,8.866304
28,none,none,none,y,none,abs,fft,0.977701,44.029901,21.025086,28.028381,38.528887,44.029901,23.234887
29,none,none,none,y,none,abs,corr,9.279113,20.399292,16.019735,18.131430,20.370747,20.399292,15.905403
