noise_removal1,transformation,combination,selection,noise_removal2,transformation,core,err_min,err_mean,err_median,err_90prctile,err_max,rmse
wavelet,abs,ica,xy,wavelet,abs,wavelet,"0,811558","57,112565","9,10286","27,739545","57,112565","18,822715"
smooth,none,pca,x,none,abs,corr,"3,292327","26,039368","9,14152","25,142721","26,039368","15,702808"
smooth,none,pca,x,smooth,abs,corr,"3,292327","26,039368","9,14152","25,142721","26,039368","15,702808"
smooth,none,pca,x,bandpass,abs,corr,"3,292327","26,039368","9,14152","25,142721","26,039368","15,702808"
smooth,none,pca,x,wavelet,abs,corr,"3,292327","26,039368","9,14152","25,142721","26,039368","15,702808"
bandpass,none,none,xyz,none,abs,corr,"0,110252","19,272176","9,143022","17,48297","19,272176","10,523149"
bandpass,none,none,xyz,smooth,abs,corr,"0,110252","19,272176","9,143022","17,48297","19,272176","10,523149"
bandpass,none,none,xyz,bandpass,abs,corr,"0,110252","19,272176","9,143022","17,48297","19,272176","10,523149"
bandpass,none,none,xyz,wavelet,abs,corr,"0,110252","19,272176","9,143022","17,48297","19,272176","10,523149"
bandpass,abs,none,xyz,none,none,corr,"0,110252","19,272176","9,143022","17,48297","19,272176","10,523149"
bandpass,abs,none,xyz,none,abs,corr,"0,110252","19,272176","9,143022","17,48297","19,272176","10,523149"
bandpass,abs,none,xyz,smooth,none,corr,"0,110252","19,272176","9,143022","17,48297","19,272176","10,523149"
bandpass,abs,none,xyz,smooth,abs,corr,"0,110252","19,272176","9,143022","17,48297","19,272176","10,523149"
bandpass,abs,none,xyz,bandpass,none,corr,"0,110252","19,272176","9,143022","17,48297","19,272176","10,523149"
bandpass,abs,none,xyz,bandpass,abs,corr,"0,110252","19,272176","9,143022","17,48297","19,272176","10,523149"
bandpass,abs,none,xyz,wavelet,none,corr,"0,110252","19,272176","9,143022","17,48297","19,272176","10,523149"
bandpass,abs,none,xyz,wavelet,abs,corr,"0,110252","19,272176","9,143022","17,48297","19,272176","10,523149"
none,none,none,yz,none,abs,wavelet,"0,09587","50,237895","9,14881","26,602115","50,237895","17,105267"
none,none,none,yz,smooth,abs,wavelet,"0,09587","50,237895","9,14881","26,602115","50,237895","17,105267"
none,none,none,yz,bandpass,abs,wavelet,"0,09587","50,237895","9,14881","26,602115","50,237895","17,105267"
none,none,none,yz,wavelet,abs,wavelet,"0,09587","50,237895","9,14881","26,602115","50,237895","17,105267"
none,abs,none,yz,none,none,wavelet,"0,09587","50,237895","9,14881","26,602115","50,237895","17,105267"
none,abs,none,yz,none,abs,wavelet,"0,09587","50,237895","9,14881","26,602115","50,237895","17,105267"
none,abs,none,yz,smooth,none,wavelet,"0,09587","50,237895","9,14881","26,602115","50,237895","17,105267"
none,abs,none,yz,smooth,abs,wavelet,"0,09587","50,237895","9,14881","26,602115","50,237895","17,105267"
none,abs,none,yz,bandpass,none,wavelet,"0,09587","50,237895","9,14881","26,602115","50,237895","17,105267"
none,abs,none,yz,bandpass,abs,wavelet,"0,09587","50,237895","9,14881","26,602115","50,237895","17,105267"
none,abs,none,yz,wavelet,none,wavelet,"0,09587","50,237895","9,14881","26,602115","50,237895","17,105267"
none,abs,none,yz,wavelet,abs,wavelet,"0,09587","50,237895","9,14881","26,602115","50,237895","17,105267"
none,none,none,xyz,none,abs,wavelet,"0,007896","54,34856","9,161714","27,438662","54,34856","18,121843"
none,none,none,xyz,smooth,abs,wavelet,"0,007896","54,34856","9,161714","27,438662","54,34856","18,121843"
none,none,none,xyz,bandpass,abs,wavelet,"0,007896","54,34856","9,161714","27,438662","54,34856","18,121843"
none,none,none,xyz,wavelet,abs,wavelet,"0,007896","54,34856","9,161714","27,438662","54,34856","18,121843"
none,abs,none,xyz,none,none,wavelet,"0,007896","54,34856","9,161714","27,438662","54,34856","18,121843"
none,abs,none,xyz,none,abs,wavelet,"0,007896","54,34856","9,161714","27,438662","54,34856","18,121843"
none,abs,none,xyz,smooth,none,wavelet,"0,007896","54,34856","9,161714","27,438662","54,34856","18,121843"
none,abs,none,xyz,smooth,abs,wavelet,"0,007896","54,34856","9,161714","27,438662","54,34856","18,121843"
none,abs,none,xyz,bandpass,none,wavelet,"0,007896","54,34856","9,161714","27,438662","54,34856","18,121843"
none,abs,none,xyz,bandpass,abs,wavelet,"0,007896","54,34856","9,161714","27,438662","54,34856","18,121843"
none,abs,none,xyz,wavelet,none,wavelet,"0,007896","54,34856","9,161714","27,438662","54,34856","18,121843"
none,abs,none,xyz,wavelet,abs,wavelet,"0,007896","54,34856","9,161714","27,438662","54,34856","18,121843"
bandpass,abs,ica,xy,none,abs,corr,"0,936705","20,018727","9,162532","18,652323","20,018727","11,199633"
bandpass,abs,ica,xy,smooth,abs,corr,"0,936705","20,018727","9,162532","18,652323","20,018727","11,199633"
bandpass,abs,ica,xy,bandpass,abs,corr,"0,936705","20,018727","9,162532","18,652323","20,018727","11,199633"
bandpass,abs,ica,xy,wavelet,abs,corr,"0,936705","20,018727","9,162532","18,652323","20,018727","11,199633"
wavelet,abs,pca,x,none,abs,wavelet,"0,260189","57,34195","9,163661","46,381047","57,34195","24,905704"
wavelet,abs,pca,x,smooth,abs,wavelet,"0,260189","57,34195","9,163661","46,381047","57,34195","24,905704"
wavelet,abs,pca,x,bandpass,abs,wavelet,"0,260189","57,34195","9,163661","46,381047","57,34195","24,905704"
wavelet,abs,pca,x,wavelet,abs,wavelet,"0,260189","57,34195","9,163661","46,381047","57,34195","24,905704"
none,none,ica,y,none,none,wavelet,"0,287704","34,281712","9,17985","25,026601","34,281712","14,527709"
none,none,ica,y,none,abs,wavelet,"0,287704","57,166873","9,17985","31,892149","57,166873","19,688336"
none,none,ica,y,smooth,none,wavelet,"0,287704","34,281712","9,17985","25,026601","34,281712","14,527709"
none,none,ica,y,smooth,abs,wavelet,"0,287704","57,166873","9,17985","31,892149","57,166873","19,688336"
none,none,ica,y,bandpass,none,wavelet,"0,287704","34,281712","9,17985","25,026601","34,281712","14,527709"
none,none,ica,y,bandpass,abs,wavelet,"0,287704","57,166873","9,17985","31,892149","57,166873","19,688336"
none,none,ica,y,wavelet,none,wavelet,"0,287704","34,281712","9,17985","25,026601","34,281712","14,527709"
none,none,ica,y,wavelet,abs,wavelet,"0,287704","57,166873","9,17985","31,892149","57,166873","19,688336"
smooth,abs,pca,z,none,none,wavelet,"0,302475","57,095479","9,187379","26,167135","57,095479","18,307124"
smooth,abs,pca,z,smooth,none,wavelet,"0,302475","57,095479","9,187379","26,167135","57,095479","18,307124"
smooth,abs,pca,z,bandpass,none,wavelet,"0,302475","57,095479","9,187379","26,167135","57,095479","18,307124"
smooth,abs,pca,z,wavelet,none,wavelet,"0,302475","57,095479","9,187379","26,167135","57,095479","18,307124"
bandpass,none,ica,xyz,none,abs,corr,"0,087986","19,907292","9,190236","17,377157","19,907292","10,575106"
bandpass,none,ica,xyz,smooth,abs,corr,"0,087986","19,907292","9,190236","17,377157","19,907292","10,575106"
bandpass,none,ica,xyz,bandpass,abs,corr,"0,087986","19,907292","9,190236","17,377157","19,907292","10,575106"
bandpass,none,ica,xyz,wavelet,abs,corr,"0,087986","19,907292","9,190236","17,377157","19,907292","10,575106"
smooth,none,ica,x,none,none,wavelet,"0,610417","48,802032","9,197332","43,321693","48,802032","20,191236"
smooth,none,ica,x,smooth,none,wavelet,"0,610417","48,802032","9,197332","43,321693","48,802032","20,191236"
smooth,none,ica,x,bandpass,none,wavelet,"0,610417","48,802032","9,197332","43,321693","48,802032","20,191236"
smooth,none,ica,x,wavelet,none,wavelet,"0,610417","48,802032","9,197332","43,321693","48,802032","20,191236"
bandpass,abs,ica,yz,none,abs,corr,"0,27516","22,456226","9,208941","20,013758","22,456226","11,2614"
bandpass,abs,ica,yz,smooth,abs,corr,"0,27516","22,456226","9,208941","20,013758","22,456226","11,2614"
bandpass,abs,ica,yz,bandpass,abs,corr,"0,27516","22,456226","9,208941","20,013758","22,456226","11,2614"
bandpass,abs,ica,yz,wavelet,abs,corr,"0,27516","22,456226","9,208941","20,013758","22,456226","11,2614"
smooth,abs,pca,x,none,none,wavelet,"1,525484","61,213683","9,216245","31,233509","61,213683","20,469437"
smooth,abs,pca,x,smooth,none,wavelet,"1,525484","61,213683","9,216245","31,233509","61,213683","20,469437"
smooth,abs,pca,x,bandpass,none,wavelet,"1,525484","61,213683","9,216245","31,233509","61,213683","20,469437"
smooth,abs,pca,x,wavelet,none,wavelet,"1,525484","61,213683","9,216245","31,233509","61,213683","20,469437"
bandpass,none,pca,z,none,abs,fft,"1,0042","26,494225","9,244803","19,851501","26,494225","11,62588"
bandpass,none,pca,z,smooth,abs,fft,"1,0042","26,494225","9,244803","19,851501","26,494225","11,62588"
bandpass,none,pca,z,bandpass,abs,fft,"1,0042","26,494225","9,244803","19,851501","26,494225","11,62588"
bandpass,none,pca,z,wavelet,abs,fft,"1,0042","26,494225","9,244803","19,851501","26,494225","11,62588"
bandpass,none,pca,xyz,none,abs,fft,"1,99545","22,504235","9,245503","20,397424","22,504235","11,599753"
bandpass,none,pca,xyz,smooth,abs,fft,"1,99545","22,504235","9,245503","20,397424","22,504235","11,599753"
bandpass,none,pca,xyz,bandpass,abs,fft,"1,99545","22,504235","9,245503","20,397424","22,504235","11,599753"
bandpass,none,pca,xyz,wavelet,abs,fft,"1,99545","22,504235","9,245503","20,397424","22,504235","11,599753"
none,abs,pca,z,none,abs,fft,"0,495275","59,992021","9,249633","59,292168","59,992021","28,808333"
none,abs,pca,z,smooth,abs,fft,"0,495275","59,992021","9,249633","59,292168","59,992021","28,808333"
none,abs,pca,z,bandpass,abs,fft,"0,495275","59,992021","9,249633","59,292168","59,992021","28,808333"
none,abs,pca,z,wavelet,abs,fft,"0,495275","59,992021","9,249633","59,292168","59,992021","28,808333"
bandpass,none,ica,x,none,abs,fft,"1,0042","21,99454","9,254147","20,944467","21,99454","11,947381"
bandpass,none,ica,x,smooth,abs,fft,"1,0042","21,99454","9,254147","20,944467","21,99454","11,947381"
bandpass,none,ica,x,bandpass,abs,fft,"1,0042","21,99454","9,254147","20,944467","21,99454","11,947381"
bandpass,none,ica,x,wavelet,abs,fft,"1,0042","21,99454","9,254147","20,944467","21,99454","11,947381"
bandpass,abs,ica,xyz,none,none,fft,"0,99503","20,494925","9,254217","16,651809","20,494925","11,167766"
bandpass,abs,ica,xyz,smooth,none,fft,"0,99503","20,494925","9,254217","16,651809","20,494925","11,167766"
bandpass,abs,ica,xyz,bandpass,none,fft,"0,99503","20,494925","9,254217","16,651809","20,494925","11,167766"
bandpass,abs,ica,xyz,wavelet,none,fft,"0,99503","20,494925","9,254217","16,651809","20,494925","11,167766"
wavelet,none,pca,x,none,abs,wavelet,"0,260189","55,232275","9,263092","48,752931","55,232275","25,75118"
wavelet,none,pca,x,smooth,abs,wavelet,"0,260189","55,232275","9,263092","48,752931","55,232275","25,75118"
wavelet,none,pca,x,bandpass,abs,wavelet,"0,260189","55,232275","9,263092","48,752931","55,232275","25,75118"
wavelet,none,pca,x,wavelet,abs,wavelet,"0,260189","55,232275","9,263092","48,752931","55,232275","25,75118"
bandpass,abs,ica,xyz,none,abs,corr,"0,175762","20,923848","9,266915","19,529237","20,923848","11,090744"
bandpass,abs,ica,xyz,smooth,abs,corr,"0,175762","20,923848","9,266915","19,529237","20,923848","11,090744"
bandpass,abs,ica,xyz,bandpass,abs,corr,"0,175762","20,923848","9,266915","19,529237","20,923848","11,090744"
bandpass,abs,ica,xyz,wavelet,abs,corr,"0,175762","20,923848","9,266915","19,529237","20,923848","11,090744"
bandpass,none,ica,z,none,abs,corr,"1,798304","21,082287","9,311007","18,129872","21,082287","11,496439"
bandpass,none,ica,z,smooth,abs,corr,"1,798304","21,082287","9,311007","18,129872","21,082287","11,496439"
bandpass,none,ica,z,bandpass,abs,corr,"1,798304","21,082287","9,311007","18,129872","21,082287","11,496439"
bandpass,none,ica,z,wavelet,abs,corr,"1,798304","21,082287","9,311007","18,129872","21,082287","11,496439"
smooth,none,ica,y,none,none,wavelet,"1,882681","57,315994","9,319244","46,066205","57,315994","22,468069"
smooth,none,ica,y,none,abs,wavelet,"1,482675","61,157159","9,319244","47,218555","61,157159","22,908042"
smooth,none,ica,y,smooth,none,wavelet,"1,882681","57,315994","9,319244","46,066205","57,315994","22,468069"
smooth,none,ica,y,smooth,abs,wavelet,"1,482675","61,157159","9,319244","47,218555","61,157159","22,908042"
smooth,none,ica,y,bandpass,none,wavelet,"1,882681","57,315994","9,319244","46,066205","57,315994","22,468069"
smooth,none,ica,y,bandpass,abs,wavelet,"1,482675","61,157159","9,319244","47,218555","61,157159","22,908042"
smooth,none,ica,y,wavelet,none,wavelet,"1,882681","57,315994","9,319244","46,066205","57,315994","22,468069"
smooth,none,ica,y,wavelet,abs,wavelet,"1,482675","61,157159","9,319244","47,218555","61,157159","22,908042"
wavelet,none,pca,x,none,none,corr,"0,434061","21,260073","9,33272","20,124414","21,260073","12,885015"
wavelet,none,pca,x,smooth,none,corr,"0,434061","21,260073","9,33272","20,124414","21,260073","12,885015"
wavelet,none,pca,x,bandpass,none,corr,"0,434061","21,260073","9,33272","20,124414","21,260073","12,885015"
wavelet,none,pca,x,wavelet,none,corr,"0,434061","21,260073","9,33272","20,124414","21,260073","12,885015"
smooth,none,ica,xy,none,none,wavelet,"1,377966","53,059013","9,367993","44,693949","53,059013","20,947636"
smooth,none,ica,xy,smooth,none,wavelet,"1,377966","53,059013","9,367993","44,693949","53,059013","20,947636"
smooth,none,ica,xy,bandpass,none,wavelet,"1,377966","53,059013","9,367993","44,693949","53,059013","20,947636"
smooth,none,ica,xy,wavelet,none,wavelet,"1,377966","53,059013","9,367993","44,693949","53,059013","20,947636"
bandpass,none,none,y,none,abs,corr,"0,0138","20,735722","9,369017","17,14138","20,735722","10,859818"
bandpass,none,none,y,smooth,abs,corr,"0,0138","20,735722","9,369017","17,14138","20,735722","10,859818"
bandpass,none,none,y,bandpass,abs,corr,"0,0138","20,735722","9,369017","17,14138","20,735722","10,859818"
bandpass,none,none,y,wavelet,abs,corr,"0,0138","20,735722","9,369017","17,14138","20,735722","10,859818"
bandpass,abs,none,y,none,none,corr,"0,0138","20,735722","9,369017","17,14138","20,735722","10,859818"
bandpass,abs,none,y,none,abs,corr,"0,0138","20,735722","9,369017","17,14138","20,735722","10,859818"
bandpass,abs,none,y,smooth,none,corr,"0,0138","20,735722","9,369017","17,14138","20,735722","10,859818"
bandpass,abs,none,y,smooth,abs,corr,"0,0138","20,735722","9,369017","17,14138","20,735722","10,859818"
bandpass,abs,none,y,bandpass,none,corr,"0,0138","20,735722","9,369017","17,14138","20,735722","10,859818"
bandpass,abs,none,y,bandpass,abs,corr,"0,0138","20,735722","9,369017","17,14138","20,735722","10,859818"
bandpass,abs,none,y,wavelet,none,corr,"0,0138","20,735722","9,369017","17,14138","20,735722","10,859818"
bandpass,abs,none,y,wavelet,abs,corr,"0,0138","20,735722","9,369017","17,14138","20,735722","10,859818"
bandpass,abs,pca,xy,none,abs,fft,"0,00441","13,00399","9,379173","12,8291","13,00399","9,269562"
bandpass,abs,pca,xy,smooth,abs,fft,"0,00441","13,00399","9,379173","12,8291","13,00399","9,269562"
bandpass,abs,pca,xy,bandpass,abs,fft,"0,00441","13,00399","9,379173","12,8291","13,00399","9,269562"
bandpass,abs,pca,xy,wavelet,abs,fft,"0,00441","13,00399","9,379173","12,8291","13,00399","9,269562"
bandpass,abs,ica,x,none,abs,corr,"0,023035","18,860667","9,382864","18,159565","18,860667","10,858942"
bandpass,abs,ica,x,smooth,abs,corr,"0,023035","18,860667","9,382864","18,159565","18,860667","10,858942"
bandpass,abs,ica,x,bandpass,abs,corr,"0,023035","18,860667","9,382864","18,159565","18,860667","10,858942"
bandpass,abs,ica,x,wavelet,abs,corr,"0,023035","18,860667","9,382864","18,159565","18,860667","10,858942"
bandpass,none,ica,xz,none,abs,corr,"0,250723","18,898404","9,433154","17,959544","18,898404","10,714797"
bandpass,none,ica,xz,smooth,abs,corr,"0,250723","18,898404","9,433154","17,959544","18,898404","10,714797"
bandpass,none,ica,xz,bandpass,abs,corr,"0,250723","18,898404","9,433154","17,959544","18,898404","10,714797"
bandpass,none,ica,xz,wavelet,abs,corr,"0,250723","18,898404","9,433154","17,959544","18,898404","10,714797"
bandpass,abs,pca,y,none,none,corr,"1,055044","23,008713","9,466637","21,295713","23,008713","11,317689"
bandpass,abs,pca,y,smooth,none,corr,"1,055044","23,008713","9,466637","21,295713","23,008713","11,317689"
bandpass,abs,pca,y,bandpass,none,corr,"1,055044","23,008713","9,466637","21,295713","23,008713","11,317689"
bandpass,abs,pca,y,wavelet,none,corr,"1,055044","23,008713","9,466637","21,295713","23,008713","11,317689"
none,abs,ica,y,none,abs,wavelet,"0,14591","61,287934","9,47408","30,983892","61,287934","20,582147"
none,abs,ica,y,smooth,abs,wavelet,"0,14591","61,287934","9,47408","30,983892","61,287934","20,582147"
none,abs,ica,y,bandpass,abs,wavelet,"0,14591","61,287934","9,47408","30,983892","61,287934","20,582147"
none,abs,ica,y,wavelet,abs,wavelet,"0,14591","61,287934","9,47408","30,983892","61,287934","20,582147"
bandpass,abs,ica,xy,none,none,fft,"1,0042","19,245013","9,499895","15,919903","19,245013","10,792722"
bandpass,abs,ica,xy,smooth,none,fft,"1,0042","19,245013","9,499895","15,919903","19,245013","10,792722"
bandpass,abs,ica,xy,bandpass,none,fft,"1,0042","19,245013","9,499895","15,919903","19,245013","10,792722"
bandpass,abs,ica,xy,wavelet,none,fft,"1,0042","19,245013","9,499895","15,919903","19,245013","10,792722"
bandpass,none,none,x,none,abs,fft,"2,495905","27,99391","9,5042","25,551039","27,99391","13,2956"
bandpass,none,none,x,smooth,abs,fft,"2,495905","27,99391","9,5042","25,551039","27,99391","13,2956"
bandpass,none,none,x,bandpass,abs,fft,"2,495905","27,99391","9,5042","25,551039","27,99391","13,2956"
bandpass,none,none,x,wavelet,abs,fft,"2,495905","27,99391","9,5042","25,551039","27,99391","13,2956"
bandpass,none,pca,xz,none,abs,fft,"1,495485","20,754357","9,5042","16,372853","20,754357","10,821905"
bandpass,none,pca,xz,smooth,abs,fft,"1,495485","20,754357","9,5042","16,372853","20,754357","10,821905"
bandpass,none,pca,xz,bandpass,abs,fft,"1,495485","20,754357","9,5042","16,372853","20,754357","10,821905"
bandpass,none,pca,xz,wavelet,abs,fft,"1,495485","20,754357","9,5042","16,372853","20,754357","10,821905"
bandpass,abs,none,x,none,none,fft,"2,495905","27,99391","9,5042","25,551039","27,99391","13,2956"
bandpass,abs,none,x,none,abs,fft,"2,495905","27,99391","9,5042","25,551039","27,99391","13,2956"
bandpass,abs,none,x,smooth,none,fft,"2,495905","27,99391","9,5042","25,551039","27,99391","13,2956"
bandpass,abs,none,x,smooth,abs,fft,"2,495905","27,99391","9,5042","25,551039","27,99391","13,2956"
bandpass,abs,none,x,bandpass,none,fft,"2,495905","27,99391","9,5042","25,551039","27,99391","13,2956"
bandpass,abs,none,x,bandpass,abs,fft,"2,495905","27,99391","9,5042","25,551039","27,99391","13,2956"
bandpass,abs,none,x,wavelet,none,fft,"2,495905","27,99391","9,5042","25,551039","27,99391","13,2956"
bandpass,abs,none,x,wavelet,abs,fft,"2,495905","27,99391","9,5042","25,551039","27,99391","13,2956"
none,none,pca,x,none,none,corr,"0,886297","21,250207","9,52979","21,140053","21,250207","12,802045"
none,none,pca,x,smooth,none,corr,"0,886297","21,250207","9,52979","21,140053","21,250207","12,802045"
none,none,pca,x,bandpass,none,corr,"0,886297","21,250207","9,52979","21,140053","21,250207","12,802045"
none,none,pca,x,wavelet,none,corr,"0,886297","21,250207","9,52979","21,140053","21,250207","12,802045"
wavelet,none,ica,y,none,abs,wavelet,"2,365208","51,73553","9,564861","28,828806","51,73553","17,954072"
wavelet,none,ica,y,smooth,abs,wavelet,"2,365208","51,73553","9,564861","28,828806","51,73553","17,954072"
wavelet,none,ica,y,bandpass,abs,wavelet,"2,365208","51,73553","9,564861","28,828806","51,73553","17,954072"
wavelet,none,ica,y,wavelet,abs,wavelet,"2,365208","51,73553","9,564861","28,828806","51,73553","17,954072"
none,abs,pca,y,none,none,wavelet,"0,371898","54,710816","9,584207","29,190565","54,710816","18,44759"
none,abs,pca,y,smooth,none,wavelet,"0,371898","54,710816","9,584207","29,190565","54,710816","18,44759"
none,abs,pca,y,bandpass,none,wavelet,"0,371898","54,710816","9,584207","29,190565","54,710816","18,44759"
none,abs,pca,y,wavelet,none,wavelet,"0,371898","54,710816","9,584207","29,190565","54,710816","18,44759"
smooth,none,none,xz,none,abs,corr,"3,365871","22,558434","9,665523","20,718413","22,558434","13,616912"
smooth,none,none,xz,smooth,abs,corr,"3,365871","22,558434","9,665523","20,718413","22,558434","13,616912"
smooth,none,none,xz,bandpass,abs,corr,"3,365871","22,558434","9,665523","20,718413","22,558434","13,616912"
smooth,none,none,xz,wavelet,abs,corr,"3,365871","22,558434","9,665523","20,718413","22,558434","13,616912"
smooth,abs,none,xz,none,none,corr,"3,365871","22,558434","9,665523","20,718413","22,558434","13,616912"
smooth,abs,none,xz,none,abs,corr,"3,365871","22,558434","9,665523","20,718413","22,558434","13,616912"
smooth,abs,none,xz,smooth,none,corr,"3,365871","22,558434","9,665523","20,718413","22,558434","13,616912"
smooth,abs,none,xz,smooth,abs,corr,"3,365871","22,558434","9,665523","20,718413","22,558434","13,616912"
smooth,abs,none,xz,bandpass,none,corr,"3,365871","22,558434","9,665523","20,718413","22,558434","13,616912"
smooth,abs,none,xz,bandpass,abs,corr,"3,365871","22,558434","9,665523","20,718413","22,558434","13,616912"
smooth,abs,none,xz,wavelet,none,corr,"3,365871","22,558434","9,665523","20,718413","22,558434","13,616912"
smooth,abs,none,xz,wavelet,abs,corr,"3,365871","22,558434","9,665523","20,718413","22,558434","13,616912"
bandpass,abs,pca,xz,none,abs,corr,"0,397334","19,608258","9,698724","16,839425","19,608258","10,497352"
bandpass,abs,pca,xz,smooth,abs,corr,"0,397334","19,608258","9,698724","16,839425","19,608258","10,497352"
bandpass,abs,pca,xz,bandpass,abs,corr,"0,397334","19,608258","9,698724","16,839425","19,608258","10,497352"
bandpass,abs,pca,xz,wavelet,abs,corr,"0,397334","19,608258","9,698724","16,839425","19,608258","10,497352"
bandpass,none,none,xy,none,abs,corr,"0,431578","20,012987","9,700145","16,343556","20,012987","10,680993"
bandpass,none,none,xy,smooth,abs,corr,"0,431578","20,012987","9,700145","16,343556","20,012987","10,680993"
bandpass,none,none,xy,bandpass,abs,corr,"0,431578","20,012987","9,700145","16,343556","20,012987","10,680993"
bandpass,none,none,xy,wavelet,abs,corr,"0,431578","20,012987","9,700145","16,343556","20,012987","10,680993"
bandpass,abs,none,xy,none,none,corr,"0,431578","20,012987","9,700145","16,343556","20,012987","10,680993"
bandpass,abs,none,xy,none,abs,corr,"0,431578","20,012987","9,700145","16,343556","20,012987","10,680993"
bandpass,abs,none,xy,smooth,none,corr,"0,431578","20,012987","9,700145","16,343556","20,012987","10,680993"
bandpass,abs,none,xy,smooth,abs,corr,"0,431578","20,012987","9,700145","16,343556","20,012987","10,680993"
bandpass,abs,none,xy,bandpass,none,corr,"0,431578","20,012987","9,700145","16,343556","20,012987","10,680993"
bandpass,abs,none,xy,bandpass,abs,corr,"0,431578","20,012987","9,700145","16,343556","20,012987","10,680993"
bandpass,abs,none,xy,wavelet,none,corr,"0,431578","20,012987","9,700145","16,343556","20,012987","10,680993"
bandpass,abs,none,xy,wavelet,abs,corr,"0,431578","20,012987","9,700145","16,343556","20,012987","10,680993"
bandpass,none,ica,yz,none,abs,corr,"0,51645","19,39481","9,709186","18,014675","19,39481","10,834454"
bandpass,none,ica,yz,smooth,abs,corr,"0,51645","19,39481","9,709186","18,014675","19,39481","10,834454"
bandpass,none,ica,yz,bandpass,abs,corr,"0,51645","19,39481","9,709186","18,014675","19,39481","10,834454"
bandpass,none,ica,yz,wavelet,abs,corr,"0,51645","19,39481","9,709186","18,014675","19,39481","10,834454"
none,none,none,x,none,none,wavelet,"0,168052","33,780024","9,726644","22,840333","33,780024","14,150796"
none,none,none,x,smooth,none,wavelet,"0,168052","33,780024","9,726644","22,840333","33,780024","14,150796"
none,none,none,x,bandpass,none,wavelet,"0,168052","33,780024","9,726644","22,840333","33,780024","14,150796"
none,none,none,x,wavelet,none,wavelet,"0,168052","33,780024","9,726644","22,840333","33,780024","14,150796"
none,abs,ica,y,none,abs,fft,"0,9958","61,491916","9,745013","48,542724","61,491916","27,35186"
none,abs,ica,y,smooth,abs,fft,"0,9958","61,491916","9,745013","48,542724","61,491916","27,35186"
none,abs,ica,y,bandpass,abs,fft,"0,9958","61,491916","9,745013","48,542724","61,491916","27,35186"
none,abs,ica,y,wavelet,abs,fft,"0,9958","61,491916","9,745013","48,542724","61,491916","27,35186"
none,none,pca,xy,none,abs,wavelet,"0,201544","57,363463","9,774239","29,714899","57,363463","19,308833"
none,none,pca,xy,smooth,abs,wavelet,"0,201544","57,363463","9,774239","29,714899","57,363463","19,308833"
none,none,pca,xy,bandpass,abs,wavelet,"0,201544","57,363463","9,774239","29,714899","57,363463","19,308833"
none,none,pca,xy,wavelet,abs,wavelet,"0,201544","57,363463","9,774239","29,714899","57,363463","19,308833"
none,abs,ica,z,none,none,corr,"3,584235","21,055183","9,796736","20,741189","21,055183","13,098349"
none,abs,ica,z,none,abs,corr,"3,584235","30,028639","9,796736","25,173583","30,028639","15,520967"
none,abs,ica,z,smooth,none,corr,"3,584235","21,055183","9,796736","20,741189","21,055183","13,098349"
none,abs,ica,z,smooth,abs,corr,"3,584235","30,028639","9,796736","25,173583","30,028639","15,520967"
none,abs,ica,z,bandpass,none,corr,"3,584235","21,055183","9,796736","20,741189","21,055183","13,098349"
none,abs,ica,z,bandpass,abs,corr,"3,584235","30,028639","9,796736","25,173583","30,028639","15,520967"
none,abs,ica,z,wavelet,none,corr,"3,584235","21,055183","9,796736","20,741189","21,055183","13,098349"
none,abs,ica,z,wavelet,abs,corr,"3,584235","30,028639","9,796736","25,173583","30,028639","15,520967"
smooth,abs,pca,x,none,abs,corr,"3,305174","27,04878","9,812338","25,839692","27,04878","15,595488"
smooth,abs,pca,x,smooth,abs,corr,"3,305174","27,04878","9,812338","25,839692","27,04878","15,595488"
smooth,abs,pca,x,bandpass,abs,corr,"3,305174","27,04878","9,812338","25,839692","27,04878","15,595488"
smooth,abs,pca,x,wavelet,abs,corr,"3,305174","27,04878","9,812338","25,839692","27,04878","15,595488"
none,abs,pca,y,none,abs,wavelet,"0,11408","56,766819","9,842575","28,184618","56,766819","18,78742"
none,abs,pca,y,smooth,abs,wavelet,"0,11408","56,766819","9,842575","28,184618","56,766819","18,78742"
none,abs,pca,y,bandpass,abs,wavelet,"0,11408","56,766819","9,842575","28,184618","56,766819","18,78742"
none,abs,pca,y,wavelet,abs,wavelet,"0,11408","56,766819","9,842575","28,184618","56,766819","18,78742"
bandpass,abs,pca,yz,none,abs,fft,"0,00441","16,243963","9,874764","15,201533","16,243963","10,52068"
bandpass,abs,pca,yz,smooth,abs,fft,"0,00441","16,243963","9,874764","15,201533","16,243963","10,52068"
bandpass,abs,pca,yz,bandpass,abs,fft,"0,00441","16,243963","9,874764","15,201533","16,243963","10,52068"
bandpass,abs,pca,yz,wavelet,abs,fft,"0,00441","16,243963","9,874764","15,201533","16,243963","10,52068"
bandpass,none,pca,yz,none,abs,fft,"2,00483","21,504305","9,874869","20,272433","21,504305","12,47063"
bandpass,none,pca,yz,smooth,abs,fft,"2,00483","21,504305","9,874869","20,272433","21,504305","12,47063"
bandpass,none,pca,yz,bandpass,abs,fft,"2,00483","21,504305","9,874869","20,272433","21,504305","12,47063"
bandpass,none,pca,yz,wavelet,abs,fft,"2,00483","21,504305","9,874869","20,272433","21,504305","12,47063"
