noise_removal1,transformation,combination,selection,noise_removal2,transformation,core,err_min,err_mean,err_median,err_90prctile,err_max,rmse
bandpass,abs,pca,z,none,none,corr,"0,134603","17,747692","5,644665","16,092095","17,747692","9,188336"
bandpass,abs,pca,z,smooth,none,corr,"0,134603","17,747692","5,644665","16,092095","17,747692","9,188336"
bandpass,abs,pca,z,bandpass,none,corr,"0,134603","17,747692","5,644665","16,092095","17,747692","9,188336"
bandpass,abs,pca,z,wavelet,none,corr,"0,134603","17,747692","5,644665","16,092095","17,747692","9,188336"
wavelet,none,ica,xyz,none,none,wavelet,"0,361249","37,059499","5,65958","21,727331","37,059499","13,530665"
wavelet,none,ica,xyz,smooth,none,wavelet,"0,361249","37,059499","5,65958","21,727331","37,059499","13,530665"
wavelet,none,ica,xyz,bandpass,none,wavelet,"0,361249","37,059499","5,65958","21,727331","37,059499","13,530665"
wavelet,none,ica,xyz,wavelet,none,wavelet,"0,361249","37,059499","5,65958","21,727331","37,059499","13,530665"
wavelet,none,ica,xy,none,none,wavelet,"1,689636","28,982148","5,698129","19,329988","28,982148","11,910179"
wavelet,none,ica,xy,smooth,none,wavelet,"1,689636","28,982148","5,698129","19,329988","28,982148","11,910179"
wavelet,none,ica,xy,bandpass,none,wavelet,"1,689636","28,982148","5,698129","19,329988","28,982148","11,910179"
wavelet,none,ica,xy,wavelet,none,wavelet,"1,689636","28,982148","5,698129","19,329988","28,982148","11,910179"
wavelet,abs,ica,z,none,none,wavelet,"0,165597","59,102243","5,714987","31,356522","59,102243","19,108211"
wavelet,abs,ica,z,none,abs,wavelet,"0,165597","61,287934","5,714987","32,012229","61,287934","19,732882"
wavelet,abs,ica,z,smooth,none,wavelet,"0,165597","59,102243","5,714987","31,356522","59,102243","19,108211"
wavelet,abs,ica,z,smooth,abs,wavelet,"0,165597","61,287934","5,714987","32,012229","61,287934","19,732882"
wavelet,abs,ica,z,bandpass,none,wavelet,"0,165597","59,102243","5,714987","31,356522","59,102243","19,108211"
wavelet,abs,ica,z,bandpass,abs,wavelet,"0,165597","61,287934","5,714987","32,012229","61,287934","19,732882"
wavelet,abs,ica,z,wavelet,none,wavelet,"0,165597","59,102243","5,714987","31,356522","59,102243","19,108211"
wavelet,abs,ica,z,wavelet,abs,wavelet,"0,165597","61,287934","5,714987","32,012229","61,287934","19,732882"
smooth,none,ica,z,none,none,wavelet,"0,670977","57,149099","5,71796","29,30927","57,149099","18,282396"
smooth,none,ica,z,none,abs,wavelet,"0,670977","63,372607","5,71796","31,176322","63,372607","19,912656"
smooth,none,ica,z,smooth,none,wavelet,"0,670977","57,149099","5,71796","29,30927","57,149099","18,282396"
smooth,none,ica,z,smooth,abs,wavelet,"0,670977","63,372607","5,71796","31,176322","63,372607","19,912656"
smooth,none,ica,z,bandpass,none,wavelet,"0,670977","57,149099","5,71796","29,30927","57,149099","18,282396"
