noise_removal1,transformation1,combination,selection,noise_removal2,transformation2,core,err_min,err_mean,err_median,err_75prctile,err_90prctile,err_max,rmse
wavelet,abs,ica,yz,none,abs,wavelet,"0,593517","54,043007","3,196425","14,032927","27,800354","54,043007","17,614275"
wavelet,abs,ica,yz,smooth,abs,wavelet,"0,593517","54,043007","3,196425","14,032927","27,800354","54,043007","17,614275"
wavelet,abs,ica,yz,bandpass,abs,wavelet,"0,593517","54,043007","3,196425","14,032927","27,800354","54,043007","17,614275"
wavelet,abs,ica,yz,wavelet,abs,wavelet,"0,593517","54,043007","3,196425","14,032927","27,800354","54,043007","17,614275"
wavelet,abs,ica,y,none,abs,wavelet,"0,325365","52,924591","3,346241","13,92879","29,503226","52,924591","17,497261"
wavelet,abs,ica,y,smooth,abs,wavelet,"0,325365","52,924591","3,346241","13,92879","29,503226","52,924591","17,497261"
wavelet,abs,ica,y,bandpass,abs,wavelet,"0,325365","52,924591","3,346241","13,92879","29,503226","52,924591","17,497261"
wavelet,abs,ica,y,wavelet,abs,wavelet,"0,325365","52,924591","3,346241","13,92879","29,503226","52,924591","17,497261"
wavelet,abs,ica,y,none,none,wavelet,"0,325365","55,048699","3,346241","13,92879","30,140459","55,048699","17,972234"
wavelet,abs,ica,y,smooth,none,wavelet,"0,325365","55,048699","3,346241","13,92879","30,140459","55,048699","17,972234"
wavelet,abs,ica,y,bandpass,none,wavelet,"0,325365","55,048699","3,346241","13,92879","30,140459","55,048699","17,972234"
wavelet,abs,ica,y,wavelet,none,wavelet,"0,325365","55,048699","3,346241","13,92879","30,140459","55,048699","17,972234"
wavelet,abs,ica,xyz,none,none,wavelet,"1,496442","54,962825","3,499204","13,577493","28,63769","54,962825","17,949223"
wavelet,abs,ica,xyz,smooth,none,wavelet,"1,496442","54,962825","3,499204","13,577493","28,63769","54,962825","17,949223"
wavelet,abs,ica,xyz,bandpass,none,wavelet,"1,496442","54,962825","3,499204","13,577493","28,63769","54,962825","17,949223"
wavelet,abs,ica,xyz,wavelet,none,wavelet,"1,496442","54,962825","3,499204","13,577493","28,63769","54,962825","17,949223"
wavelet,abs,ica,xyz,none,abs,wavelet,"0,844463","55,32819","3,742018","13,989516","28,210923","55,32819","18,039915"
wavelet,abs,ica,xyz,smooth,abs,wavelet,"0,844463","55,32819","3,742018","13,989516","28,210923","55,32819","18,039915"
wavelet,abs,ica,xyz,bandpass,abs,wavelet,"0,844463","55,32819","3,742018","13,989516","28,210923","55,32819","18,039915"
wavelet,abs,ica,xyz,wavelet,abs,wavelet,"0,844463","55,32819","3,742018","13,989516","28,210923","55,32819","18,039915"
smooth,none,ica,xyz,none,none,wavelet,"2,157341","54,422375","4,076621","12,605264","29,234968","54,422375","17,738091"
smooth,none,ica,xyz,smooth,none,wavelet,"2,157341","54,422375","4,076621","12,605264","29,234968","54,422375","17,738091"
smooth,none,ica,xyz,bandpass,none,wavelet,"2,157341","54,422375","4,076621","12,605264","29,234968","54,422375","17,738091"
smooth,none,ica,xyz,wavelet,none,wavelet,"2,157341","54,422375","4,076621","12,605264","29,234968","54,422375","17,738091"
smooth,none,ica,xyz,none,abs,wavelet,"2,934737","59,91732","4,076621","13,345529","30,883451","59,91732","19,240683"
smooth,none,ica,xyz,smooth,abs,wavelet,"2,934737","59,91732","4,076621","13,345529","30,883451","59,91732","19,240683"
smooth,none,ica,xyz,bandpass,abs,wavelet,"2,934737","59,91732","4,076621","13,345529","30,883451","59,91732","19,240683"
smooth,none,ica,xyz,wavelet,abs,wavelet,"2,934737","59,91732","4,076621","13,345529","30,883451","59,91732","19,240683"
bandpass,none,ica,y,none,none,corr,"0,377768","15,765576","4,262231","10,898606","13,59033","15,765576","7,943167"
bandpass,none,ica,y,smooth,none,corr,"0,377768","15,765576","4,262231","10,898606","13,59033","15,765576","7,943167"
bandpass,none,ica,y,bandpass,none,corr,"0,377768","15,765576","4,262231","10,898606","13,59033","15,765576","7,943167"
bandpass,none,ica,y,wavelet,none,corr,"0,377768","15,765576","4,262231","10,898606","13,59033","15,765576","7,943167"
wavelet,abs,ica,xy,none,none,wavelet,"0,784211","54,863527","4,295655","13,297708","29,373503","54,863527","17,954933"
wavelet,abs,ica,xy,smooth,none,wavelet,"0,784211","54,863527","4,295655","13,297708","29,373503","54,863527","17,954933"
wavelet,abs,ica,xy,bandpass,none,wavelet,"0,784211","54,863527","4,295655","13,297708","29,373503","54,863527","17,954933"
