config_id,noise_removal1,transformation1,combination,selection,noise_removal2,transformation2,core,err_min,err_mean,err_median,err_75prctile,err_90prctile,err_max,rmse
1,none,none,none,x,none,none,fft,3.017231,51.028381,27.524833,39.027367,45.528381,51.028381,29.829563
2,none,none,none,x,none,none,corr,13.279683,39.126085,23.967254,26.735104,33.986721,39.126085,24.146836
3,none,none,none,x,none,none,wavelet,0.496272,17.771481,3.809777,13.334158,16.012204,17.771481,9.162230
4,none,none,none,x,none,abs,fft,1.015711,43.027367,14.521539,26.023819,39.028381,43.027367,22.585266
5,none,none,none,x,none,abs,corr,12.440670,39.093353,24.398103,26.232552,36.408435,39.093353,24.660580
6,none,none,none,x,none,abs,wavelet,0.496272,15.648948,7.425592,12.320299,14.427567,15.648948,9.622392
7,none,none,none,x,smooth,none,fft,3.017231,51.028381,27.524833,39.027367,45.528381,51.028381,29.829563
8,none,none,none,x,smooth,none,corr,13.279683,39.126085,23.967254,26.735104,33.986721,39.126085,24.146836
9,none,none,none,x,smooth,none,wavelet,0.496272,17.771481,3.809777,13.334158,16.012204,17.771481,9.162230
10,none,none,none,x,smooth,abs,fft,1.015711,43.027367,14.521539,26.023819,39.028381,43.027367,22.585266
11,none,none,none,x,smooth,abs,corr,12.440670,39.093353,24.398103,26.232552,36.408435,39.093353,24.660580
12,none,none,none,x,smooth,abs,wavelet,0.496272,15.648948,7.425592,12.320299,14.427567,15.648948,9.622392
13,none,none,none,x,bandpass,none,fft,3.017231,51.028381,27.524833,39.027367,45.528381,51.028381,29.829563
14,none,none,none,x,bandpass,none,corr,13.279683,39.126085,23.967254,26.735104,33.986721,39.126085,24.146836
15,none,none,none,x,bandpass,none,wavelet,0.496272,17.771481,3.809777,13.334158,16.012204,17.771481,9.162230
16,none,none,none,x,bandpass,abs,fft,1.015711,43.027367,14.521539,26.023819,39.028381,43.027367,22.585266
17,none,none,none,x,bandpass,abs,corr,12.440670,39.093353,24.398103,26.232552,36.408435,39.093353,24.660580
18,none,none,none,x,bandpass,abs,wavelet,0.496272,15.648948,7.425592,12.320299,14.427567,15.648948,9.622392
19,none,none,none,x,wavelet,none,fft,3.017231,51.028381,27.524833,39.027367,45.528381,51.028381,29.829563
20,none,none,none,x,wavelet,none,corr,13.279683,39.126085,23.967254,26.735104,33.986721,39.126085,24.146836
21,none,none,none,x,wavelet,none,wavelet,0.496272,17.771481,3.809777,13.334158,16.012204,17.771481,9.162230
22,none,none,none,x,wavelet,abs,fft,1.015711,43.027367,14.521539,26.023819,39.028381,43.027367,22.585266
23,none,none,none,x,wavelet,abs,corr,12.440670,39.093353,24.398103,26.232552,36.408435,39.093353,24.660580
24,none,none,none,x,wavelet,abs,wavelet,0.496272,15.648948,7.425592,12.320299,14.427567,15.648948,9.622392
25,none,none,none,y,none,none,fft,1.015711,29.027874,19.023819,26.024833,29.027620,29.027874,19.623715
26,none,none,none,y,none,none,corr,13.046463,35.301027,23.075071,28.847358,33.522992,35.301027,23.694748
27,none,none,none,y,none,none,wavelet,0.353755,22.533678,6.460958,11.809731,20.152580,22.533678,10.877841
28,none,none,none,y,none,abs,fft,1.982262,37.024833,14.985050,22.985303,31.005575,37.024833,18.732882
29,none,none,none,y,none,abs,corr,13.635954,37.007187,23.055756,27.996804,33.631649,37.007187,23.939129
30,none,none,none,y,none,abs,wavelet,0.142915,26.493218,12.451176,20.015857,24.259704,26.493218,15.202875
31,none,none,none,y,smooth,none,fft,1.015711,29.027874,19.023819,26.024833,29.027620,29.027874,19.623715
32,none,none,none,y,smooth,none,corr,13.046463,35.301027,23.075071,28.847358,33.522992,35.301027,23.694748
